COD_ENCUESTADO,Nombre Campus,NIVEL ACTUAL,Clave de carrera,Ciclo,COMENTARIO,IND_GEA,IND_DELEGADO,CANT_CURSOS_MATRICU_SIN_INGLES,UOD_depostista_ind_deportista,NPS
6026,3,AC,5,2, AtenciÑn al alumno y deben mejorar la red wifi,,,6.0,,3
2388,2,AC,7,1, La organizaciÑn y el material de trabajo de cada curso,,,2.0,,4
25871,1,FC,106,1, La tecnologÕa y facilidad de estudio,,,4.0,,4
555,1,AC,31,1, En la introducciÑn a la vida universitaria. Màs especÕficamente en el uso de los sistemas utilizados por la Universidad,,,4.0,,3
2296,1,AC,37,2, Los recursos que nos brindan para poder aprender y ser profesionales.,,,7.0,,4
3606,3,AC,40,3," Màs dinàmicas, salidas como viajes",,,7.0,,3
2520,2,AC,28,1, Es una buena experiencia estudiar en la universidad,,,5.0,,4
23222,1,AC,16,3, Màs servicios,,Delegado,4.0,,2
13349,1,AC,25,1, Las personas encargadas y los profesores no trataron muy bien,,,3.0,,3
19190,4,AC,31,1, explicar mejor el sistema blend,,Delegado,7.0,,3
845,3,AC,24,5, No me han apoyado cuando he tenido problemas de frente a algo injusto con un profesor,,Delegado,7.0,,2
25427,1,FC,101,5, Valoro la exigencia educativa,,Delegado,3.0,,4
19374,4,AC,5,2, EnseÐanza,,,3.0,,4
27397,1,FC,107,1, que los profesores su enseÐanza es muy buena,,,2.0,,4
17536,2,AC,15,3," Porque la administraciÑn es muy mala y a la hora de escoger los horarios hay muy pocos cursos. Ademàs, no les importa los alumnos solamente el dinero de ellos.",,,4.0,,2
25683,1,FC,101,2, El inter_s de la universidad por innovar. Siento que van un paso adelante con relaciÑn al resto.,,,4.0,,4
5437,1,AC,37,8, Demora en la soluciÑn de problemas,,,6.0,,2
7996,4,AC,15,3," Atencion al alumno (pesimo) , debe haber mas salones de estudio, aumento de pension excesivo por inicio de matrÕcula.",,,6.0,,2
10076,3,AC,16,9," Estudio una carrera que necesitamos enchufes en el aula donde se dicta taller y nunca hay y si hay no sirven. El uso de los ipads es defectuoso, nuestros ppts para exposiciÑn no cargan y esto genera que nos retrasemos en nuestra clase",,,3.0,,2
22103,3,AC,5,4," Por la modalidad blended , en parte es bueno , pero por otro lado es mas complicado para los alumnos, asÕ mismo la pensiÑn siempre de incremente es por eso que no les doy 10 , pero es muy buena en educaciÑn ,los profesores son profesionales buenisimos y tienen mucho campo laboral",,Delegado,5.0,,3
30812,3,FC,101,4," Los horarios, la enseÐanza de los profesores, infraestructura",,,4.0,,4
26578,2,FC,107,3," Muy buena universidad, tiene un modelo de educaciÑn muy bueno, buena infraestructura y tecnologÕa.",,,2.0,,4
19495,3,AC,2,2, Necesito las experiencia para recomendarla,,,6.0,,3
25586,2,FC,104,3," Valoro la experiencia de los profesores de los cursos que he llevado, la metodologÕa de enseÐanza EPE con casos pràcticos, la posibilidad de poder disponer de libros e informaciÑn de manera virtual.",,,4.0,,4
21159,3,AC,31,2," Los problemas en el aula virtual,cierre de salones y comedores llenos.",,,4.0,,2
23883,3,AC,34,1, Valoro la ensaÐanza de los profesores y el apoyo de los conpaÐeros,,,5.0,,4
28431,3,FC,107,10, La exigencia,,,2.0,,4
5626,1,AC,37,1, Porque tiene buena infraestructura,,,6.0,,3
28638,1,FC,108,10, La modalidad EPE cubre todas mis expectativas,,Delegado,3.0,,4
9192,4,AC,25,3," DeberÕa mejorar la mensualidad, ademàs la poblaciÑn de estudiantes es demasiado esto provoca que los recursos de estudio sean insuficientes. Aparte de eso el ingreso es muy fàcil esto denigra el prestigio de la Universidad.",,,5.0,,3
5695,3,AC,5,1, Deberian poner bancas para sentarse afuera,,,6.0,,3
15007,2,AC,28,1, La forma de enseÐar es buena xd,,,3.0,,3
14930,3,AC,7,7, No dan los servicios que ofrecen,,Delegado,8.0,,1
11644,4,AC,25,2, La acreditaciÑn con la WASC,,,5.0,,4
17225,2,AC,5,3, EducaciÑn con cursos virtuales,,,6.0,,4
1353,4,AC,31,1, Dar mas facilidades para ambientes de estudio,,,4.0,,3
26700,2,FC,108,4," Deberia haber flexibilidad para que la modalidad de epe tambien participe en talleres diversos como ayuda social, deportes, artes, etc. Porque una cosa es presenciarlo y otra es formar parte de ellos.",,,4.0,,3
4694,3,AC,26,2, Mejorar el tiempo de atencion y resolucion de dudas tanto por contacto web como atencion al alumno,,,4.0,,3
185,1,AC,31,5, Matricula,,,6.0,,3
9573,3,AC,31,3, En la atenciÑn al alumno y mas apoyo a los deportistas de la universidad,,,4.0,,3
29418,3,FC,104,2," Que tiene buena enseÐanza si uno quiere aprender, porq si uno bo esta dispuesto a dar todo de sÕ, no va a lograr nada. La universidad exige bastante, pero a mi parecer es mejor para cada uno.",,,5.0,,4
17463,3,AC,34,4," La infraestructura, el aumento de pensiÑn innecesaria",,,6.0,,1
22545,3,AC,9,1, AtenciÑn al alumno,,,4.0,,3
2527,2,AC,25,1, La tecnologÕa Y los profesores,,,5.0,,4
20595,4,AC,3,1," La infraestructura de los campus, algunos profesores",,,6.0,,4
26100,3,FC,100,3, Buenos profesores,,,5.0,,4
15842,3,AC,7,1, DeberÕan implementar lugares para guardar proyectos en arquitectura,,,4.0,,3
4763,4,AC,15,2, Porque exige,,,7.0,,4
32463,1,FC,106,2, Horarios,,,5.0,,3
8213,4,AC,11,2," Talleres en cursos de matemàtica como costos y presupuestos. Tambi_n, repartir un material similar al que nos van a tomar no engaÐàndonos con materiales fàciles y el examen sea toda una sorpresa",,,6.0,,2
10157,3,AC,14,3, Exigente,,,4.0,,4
27901,2,FC,101,1, La exigencia que ponen para poder desarrollar los cursos de manera satisfactoria.,,,4.0,,4
11179,3,AC,2,8, 2 titulos,,,5.0,,4
22034,3,AC,9,7, La pensiÑn no corresponde con la cantidad de beneficios que ofrece la Universidad. O la bajan o suben los beneficios.,GEA,,7.0,,3
16166,1,AC,33,2, Buen nivel educativo. Acreditada internacionalmente. Falta organizaciÑn general y del contenido de los cursos.,,Delegado,6.0,,2
21919,3,AC,16,4," Malaca calidad de wifi, pocos estacionamientos, sistema de matricula falla, profesores no capacitados con ipad. Cambio constante de malla curricular, no hay suficientes mesas con enchufes para realizar trabajos, y carpetas para hacer maquetas en diseÐo d",,Delegado,5.0,,1
8643,1,AC,7,1, La bena enseÐanza y las facilidades que nos dan,,,2.0,,4
15240,1,AC,16,7, Falta de Conciencia EcolÑgica ; no hay tachos de reciclaje. Faltan dispensadores de toallas higi_nicas en algunos sshh de damas,,Delegado,4.0,,2
31898,3,FC,107,6, La mensualidad sube mucho,,,3.0,,2
26165,3,FC,101,5," Mejora en los de atenciÑn al alumno, tanto personal como por tel_fono se demoran mucho en responder. Mejorar los servicios higi_nicos.",,,4.0,,3
24313,4,AC,5,3," El blackboard es p_simo.DeberÕa existir una app que tenga todo lo necesario . Màs ascensores,porque demasiados alumnos...",,Delegado,6.0,,3
29136,3,FC,108,5, Deberian implementar talleres de todos los cursos,,,4.0,,3
10207,4,AC,25,1," En el cambio de sede, debido a que mi domicilio queda mucho màs cerca a la sede Monterrico que a la de San Isidro pero aun asÕ no hay respuesta acerca de este cambio que quisiera realizar",,,5.0,,3
16974,3,AC,39,2," DeberÕan mejorar la red WiFi alumnos, ya que la busqueda de informaciÑn en la vida acad_mica del alumno universitario es indispensable",,Delegado,8.0,,3
12202,3,AC,30,2, Reemplazar las clases virtuales por presenciales en cursos de matematica,,,5.0,,3
23823,3,AC,34,2," Mucha gente, las cosas caras, incluyendo la educaciÑn",,,5.0,,3
14069,4,AC,25,1, Valoro los profesores y infraestructura del 4. No valoro la larga cola de atenciÑn al alumno.,,Delegado,4.0,,4
27497,3,FC,101,5," Yo estudiaba cerca de mi casa (San Borja) , era cÑmodo y fàcil . Ahora ya no hay ese campus y para mi es complicado porque me mandaron a Monterrico , me siento molesta por eso.",,,2.0,,2
30154,2,FC,105,3," Debe haber mayor dedicaciÑn de los docentes, para que el alumno sienta que està aprendiendo y puede aplicar lo aprendido. Al margen de la nota, lo importante es que el alumno aprenda.",,,4.0,,3
9261,1,AC,33,4," En el 1, tiene todo!!",,Delegado,6.0,,4
33414,4,PRESENCIAL,223,1," Aulasinfraestructura, usamos aulas de pregrado; baÐoslimpieza; bibliotecamantener",,,,,3
13435,1,AC,3,1," Qu_ los buses no sÑlo pasen de sede a dese, sino tambi_n por los distritos cercanos a la universidad",,,5.0,,3
29000,4,FC,104,6," Los horarios de noche, super conveniente para gente que trabaja",,,4.0,,4
20429,3,AC,39,3, La calidad de enseÐanza,,,6.0,,4
1720,3,AC,5,5, Tienen una buena infraestructura,,,8.0,,4
24234,1,AC,37,3, Este app : MI universidad,,,6.0,,2
28304,3,FC,107,1, Valoro la exigencia y la forma de ensenar.,,,2.0,,4
12408,3,AC,5,5, Mejorar el app y la atencion al alumno.,,,7.0,,3
32028,4,FC,101,1, En cuanto a los cursos son muy didacticos pero en lo que respecta en la atencion al estudiante no contestan las llamadas y los cursos que se habilitan son muy pocos,,,4.0,,2
21169,3,AC,28,1, Me parece que no deberÕan existir sesiones virtuales,,,4.0,,3
22154,4,AC,5,5, Atencion al alumno y sobrepoblacion,,,4.0,,2
6691,3,AC,39,1, Muy buena universidad con buenos profesores,,Delegado,5.0,,4
2817,2,AC,3,1, ValorÑ mucha la enseÐa que me enseÐan. Y estoy orgullosa de todo.,,,4.0,,4
10908,1,AC,3,2, Porque tiene todas las herramientas necesarias que debe tener una universidad de nivel.,,,5.0,,4
2878,1,AC,33,1," Lo que mas valoro es el respeto de la misma universidad , un gran detalle es sus nuevas inovsciones que tienen una gran mejora en la enseÐanza",,,5.0,,4
10553,1,AC,33,2, En el àrea de medicina humana le falta poder practicar con muertos.,,,5.0,,3
1243,3,AC,39,6, La universidad es una mierda y no ofrecen bueno horarios,,,5.0,,1
2827,1,AC,26,1, La calidad de enseÐanza de los profesores y es muy bonito el campus,,,3.0,,4
25271,3,FC,107,12, La pensiÑn esta cada vez màs elevada,,,1.0,,2
23892,4,AC,15,1, La calidad de enseÐanza de mis docentes,,,6.0,,4
7158,1,AC,37,2, InnovaciÑn,,,6.0,,4
12815,3,AC,39,2, Mostrar màs inter_s en la educaciÑn,,,5.0,,3
31994,2,FC,100,9, Las herramientas tecnolÑgicas y la enseÐanza de los porfesores,,,4.0,,4
16711,1,AC,7,3, Exigencia,,,5.0,,4
12871,1,AC,9,2, Es buena u,,Delegado,6.0,,3
29235,3,FC,106,5, Lo que màs valoro es la exigencia y calidad de los profesores.,GEA,,5.0,,4
7616,3,AC,5,2, La modernizaciÑn que existe en la universidad,,,4.0,,4
32074,2,FC,101,2, Es buena pero en algunas ocasiones muy drastrica en toma decisiones (reglamentos ),,,5.0,,4
27990,3,FC,106,1, AmpliaciÑn de transporte pÏblico de la universidad,,Delegado,4.0,,3
30383,1,FC,101,10, Falta mas talleres para reforzar Los ultimos cursos de la carrera,,,2.0,,3
27809,3,FC,109,1," Las clases virtuales, los exàmenes virtuales, las clases presenciales y exàmenes presenciales, todo se amarra entre si, y me gusta la exigencia indirecta.",,,4.0,,4
6226,1,AC,26,1," Porque es una universidad con una enseÐanza fuerte y pràctica, ademàs de su dura exigencia.",,,4.0,,4
24110,3,AC,10,6," Hay algunas fallas en el proceso de matrÕcula, en verano se siente la ausencia de aire acondicionado, el wifi casi nunca sirve, no estoy de acuerdo en que para obtener cr_ditos extraacademicos mediante talleres se deba de hacer un pago",,,8.0,,2
24392,3,AC,6,1, AtenciÑn al alumno.,,,7.0,,3
14964,3,AC,7,5, Es una buena universidad con buenos profesores,,,4.0,,4
3115,3,AC,28,1, La calidad de estudio,,,4.0,,4
16456,4,AC,31,1, La recomiendo por ser buena universidad,,,4.0,,3
14122,1,AC,33,1, Deberian tener mas orden en la matricula y enseÐar antes de evaluar,,,3.0,,2
14812,3,AC,18,3," Su organizaciÑn, proceso de matrÕcula y grupo administrativo son de los peores del paÕs.",,Delegado,5.0,,2
25911,3,FC,107,1," El contacto via telefÑnica, y el compromiso hacia los estudiantes, me parece que la Universidad tiene que hacer sentir a todos la alumnos(pre grado y epe) su compromiso con reuniones de facultad o suaves de los coordinadores de la carrera o el director de carrera, ver para obsequiar distintivos que los alumnos puedan llevar siempre...eventos deportivos masivos etc.",,,4.0,,3
14748,3,AC,3,1, Porque me parece una buena universidad que exige al màximo,,,6.0,,4
20076,3,AC,3,2, Äl aula virtual se cuelga siempre,,Delegado,5.0,,3
12585,3,AC,27,1, En poner un examen de admisiÑn como las otras universidades.,,,6.0,,2
15883,4,AC,5,1, Que las aulas tengan mas ventilaciÑn,,,5.0,,3
15562,3,AC,13,5, En atencion al alumno,,,7.0,,2
28971,3,FC,109,11, Algunos profesores no dan la talla a pesar que se paga una alta suma de dinero.,,,4.0,,1
25445,2,FC,101,2, Excelente universidad con profesores de alta calidad.,,,5.0,,4
20288,2,AC,14,1," Supervisar a los profesores, no todos hacen una buena labor.",,,4.0,,3
7484,1,AC,4,4," Muchos problemas con la matricula, contacto web ineficiente",,,6.0,,2
25115,3,AC,14,2, Son imcompetentes e ineficientes. La plataforma es un asco,,,5.0,,1
5315,3,AC,7,1, Bajar la mensualidad,,,5.0,,3
31051,2,FC,107,6, Exigencia,,,2.0,,4
3092,1,AC,25,1, Esta bien todo.,,,5.0,,4
21235,3,AC,10,5, El sistema acad_mico deja mucho que desear,,,7.0,,1
5935,3,AC,39,1, En los horarios no me gusta por que lo alteran cuando quieren,,,6.0,,3
5602,2,AC,28,1, La cafeterÕa.,,,5.0,,3
4682,3,AC,7,1, Exelente,,,3.0,,4
21782,4,AC,14,4, Falta implementar espacios deportivos para la sede San isidro,,,4.0,,3
11751,3,AC,3,2, Definitivamente en el sistema de matricula y en atencion al alumno.,,,4.0,,3
26418,1,FC,106,1, Me parece muy bien .. por su buena enseÐanza.,,,4.0,,4
20098,2,AC,28,1, Porque si,,,1.0,,2
23799,4,AC,13,5, Te hacen sentir dentro de una gran familia,,Delegado,8.0,,4
2334,4,AC,9,3, La calidad de lo que me enseÐan y la estructura de la universidad,,,6.0,,4
11329,4,AC,14,4," No piensan mucho en el alumno, solo en el ingreso que estos le generan.",,,6.0,,2
24883,3,AC,7,8, Buenas oportunidades internacionales,,Delegado,4.0,,3
7165,4,AC,25,1, No es muy exigente,,,4.0,,2
29499,3,FC,101,7, Malos estacionamientos Alzan las cuotas sin informar.,,Delegado,5.0,,2
11867,4,AC,31,4," SI TANTO SE JACTAN DE TENER UNA ACREDITACIN , PORQUE NO SE DAN UNA VUELTA PARA VER COMO ENSEãAN SUS DOCENTES? ALVARADO SUAREZ PROFESOR DE INVESSTIGACIN DE OPERACIONES 1 CARRERA DE INGENIERIA INDUSTRIAL , CREEN QUE PORQUE TIENE SUS TITULOS ES UN BUEN PEOFESOR? TOMENSE LA MOLESTIA QUE TODOS TENGAN CORDURA MENTAL COMO PARA ENSEãAR UN CURSO TAN IMPORTANTE ESTE PROFESOR MANDA A RESOLVER LOS EJERCICIOS TODA LA CLASE DESDE QUE COMENZO EL CICLO NO HA ENSEãADO NADA VAYAN Y PREGUNTEN A LA SECCIN DE LOS",,,5.0,,1
18630,4,AC,25,5, debido a que en la organizaciÑn para los talleres no es buena y que los profesores no asisten a dictar clases,,Delegado,8.0,,3
28449,1,FC,104,8, Poner mas opciones de clases en el campus que una pertenece,,,4.0,,3
16627,1,AC,31,6, La calidad de profesores que enseÐan en la universidad,,Delegado,6.0,,4
6013,4,AC,5,1," El buen trato de los profes, sus buenas vibras, los servicios que la universidad ofrece son muy buenos, estoy gratamente satisfecho con la universidad, recomendable.",,,4.0,,4
28643,2,FC,100,8," DeberÕan hacer mejor seguimiento al trabajo de los profesores, la mayoria son buenos, pero hay algunos que deberÕan mejorar",,,3.0,,4
27964,2,FC,108,11, buen equipamiento,,,4.0,,3
29461,4,FC,107,5," Rapidez del balckboard, tiempo de atenciÑn en contacto web y poner mayor enfoque a las llamadas telefÑnicas.",,,4.0,,3
14114,3,AC,5,1," La organizaciÑn de las clases, los profesores y la infraestructura.",,,6.0,,4
570,4,AC,5,3, En el proceso de matricula en linea deberÕa habilitar mas salones,,,4.0,,2
21724,1,AC,37,7, Espacios para los alumnos estacionamientos en Villa cafeteria y servicios de impresion,,Delegado,4.0,,3
30203,1,FC,106,7, P_sima atenciÑn al alumno,,,4.0,,1
28874,2,FC,108,4, Buenos profesores. Infraestructura y temas muy buenos,,,4.0,,4
10196,3,AC,32,5, En la cantidad de persona,,,6.0,,2
31696,3,FC,110,2," La mensualidad es muy alta, en mi caso solo estoy llevando un curso en el primer modulo y me estàn cobrando como si llevara 2 o 3 cursos en el modulo 1 y en el modulo 2 si llevo 2 cursos de los cuales si estoy de acuerdo con pagar el monto pero es un abuso.",,,3.0,,2
4183,2,AC,31,2," LA DIVERSIDAD DE AYUDA Y EL SOPORTE QUE TIENE PARA LOS ALUMOS TANTO EDUCATIVAMENTE Y TAMBIEN PSICOLGICO, ADEMS ME PERMITE INTERACTUAR CON LO MS ACTUAL EN EL MUNDO Y SIEMPRE ESTA A LA VANGUARDIA DE LO QUE PIDE EL MERCADO",,Delegado,6.0,,4
13473,3,AC,39,2," La universidad està sobrepoblada, se discrimina a la personas zurdas ya que en ningÏn salÑn hay capetas especiales para zurdos. Lo peor es que soy de traducciÑn y me dicen que no hay presupuesto para implementar talleres de franc_s cuando para los que llevan chino si hay.",,,5.0,,3
4714,4,AC,10,7, Un cambio en atenciÑn al alumno. Practicas laborales para todos.,,Delegado,8.0,,3
5661,1,AC,37,1, Mas espacio en el mini brake.,,,6.0,,3
7600,1,AC,33,2, Falta de consejo universitario,,,6.0,,3
28688,4,FC,101,8, las clases,,,3.0,,4
27464,2,FC,101,3, El nivel de enseÐanza y las excelentes herramientas que brinda la universidad,,,2.0,,4
13325,4,AC,31,3, Varios cursos importantes se les dejo de evaluar el laboratorio ( Algoritmos) lo cual considero es bien importante. Ademàs de que haber falta de espacios para estudiar dentro del campus,,Delegado,6.0,,3
19586,3,AC,7,2," Los buenos profesores, la forma de enseÐanza que es dinàmica y motiva a la participaciÑn de los alumnos, la infraestructura y que siempre hay los materiales que se necesitan.",,,6.0,,4
3418,4,AC,3,3, Mejores horarios,,,6.0,,3
16108,2,AC,16,1, Deberian mejorar con el tema de los ascensores,,,5.0,,3
7847,3,AC,17,1, Porque es una universidad muy competitiva,,,6.0,,4
14176,4,AC,25,2," La calidad de los docentes y el sistema que aplica la universidad con sus alumnos , tambien hace que los alumnos vean el mundo de otra manera",,,4.0,,4
1400,3,AC,29,6, Muy buena infraestructura,,,6.0,,4
30845,3,FC,101,7," Podrian dar un incentivo (descuento, becas) a los alumnos de epe por rendimiento academico, ya que hay un mayor esfuerzo por parte de nosotros.",,,5.0,,3
3977,2,AC,31,1," Màs control en la hora punta de admisiÑn. Un tremendo escàndalo para matricularme. Comenzaron bien, y al final la atenciÑn era muy muy lenta y p_sima. Se notaba que estaban bajo mucha presiÑn. Luego la universidad me encanta.",,,5.0,,3
17576,1,AC,37,3, AtenciÑn y infraestructuras,,,5.0,,2
23848,3,AC,8,3, Se necesitan computadoras en ciertas aulas,,,3.0,,3
12097,4,AC,14,2," Mejor en la organizaciÑn de los ascensores y las clases por aula virtual, ya que no es parecida a una clase presencial",,Delegado,6.0,,2
26939,4,FC,105,2, Infraestructura de salones falta aire acondicionado y algunos docentes deberian tener mejor nivel,,,4.0,,3
16193,3,AC,18,5, Bajen la pension no todos pueden pagar sus precios,,Delegado,8.0,,3
11464,4,AC,31,6, DeberÕan implementar el tema de visitas t_cnicas a las empresas como otras universidades que lo realizan desde el primer ciclo.,GEA,,6.0,,3
28100,1,FC,101,6, Su exigencia e innovaciÑn,,,4.0,,4
27490,3,FC,106,5," DEBE MEJORAR MUCHO MAS SU ATENCIN AL ALUMNO, BRINDAN INFORMACIN ERRADA, DEMORAN EN LA SOLUCION DE PROBLEMAS Y PERJUDICA NOTABLEMENTE AL ALUMNO.",,,4.0,,2
15035,1,AC,9,1, En la malla curricular,,,4.0,,3
17819,4,AC,14,1, En la atencion al alumno,,Delegado,6.0,,2
15289,4,AC,31,5, Mejorar atenciÑn al alumno,,,6.0,,3
16502,3,AC,39,1," La informaciÑn no llega a todos por el correo ,la aplicaciÑn de la universidad es muy lenta y aveces no se puede acceder al igual que el wifi para alumnos.",,,6.0,,1
13569,2,AC,7,1, Que nos dan oportunidades laborales y la enseÐanza en algunos cursos es muy dinàmica y ayudan a mejorar el aprendizaje,,,3.0,,4
1028,2,AC,16,1, Lo que màs valorÑ de mi experiencia en la universidad es el nivel de estudios que me brinda. Tiene ambientes adecuados para que un estudiante se desarrolle en su màximo esplendor.,,Delegado,5.0,,4
28672,1,FC,104,4, La exigencia,,,3.0,,4
29289,3,FC,100,8, No en enseÐan como las otras universidades de nivel. Su malla curricular es una verguenza. Los profesores son malos y los chicos pueden conseguirse los examenes y aprobar. Lo cual mo es justo. ,,,5.0,,1
4447,3,AC,15,2," DeberÕan tener en cuenta de no designar dos profesores por curso me paso este ciclo en microeconomia que es un curso pesado, no coordinan y se vuelve muy tedioso me parece que no es correcto y hace el curso aÏn màs tedioso",,,6.0,,3
14908,1,AC,25,1, Reducir las multas en la reserva de espacios deportivos,,,6.0,,3
11005,1,AC,33,13, Por sus convenios,,,2.0,,4
19239,2,AC,3,1," Porque es muy buen Universidad , muy exigente y buena en tecnologÕa.",,,5.0,,4
682,4,AC,26,1, Mas imagenes,,,4.0,,3
5564,4,AC,31,3, En el 4 la biblioteca es pequeÐa. En semana de examenes no se puede estudiar por falta de espacio,,Delegado,4.0,,3
21468,2,AC,15,2, Muy interesante,,,6.0,,4
16218,3,AC,18,5, La forma en que dividen los.cursod de la carrera los cuales son muy completos,,,6.0,,4
14591,3,AC,30,3, Los ambientes de la universidad dificultan el àmbito para el estudio no hay suficiente cantidad de enchufes de electricidad poe ejemplo ya que las laptops ipads celulares son importantes para estudiar y sin enchufes pràcticamente hace difÕcil permanecer ya que tenemos clases muchas veces durante todo el dÕa,,,4.0,,2
32326,2,FC,104,1, Los talleres y tutorias,,,4.0,,4
10464,1,AC,33,2, El servicio que brindan aunque no es del todo bien. Tambien el interes que tiene la universidad de mejorar cada aÐo en todos los aspectos para llegar a ser una de las mejores universidades.,,,5.0,,4
717,3,AC,5,1, estan sobrepasando el aforo del 3. es muy incomodo,,,6.0,,2
2515,3,AC,16,1," Todo, amo la universidad",,Delegado,6.0,,4
20728,2,AC,16,2, La pensiÑn,,,6.0,,3
18747,4,AC,2,3, La exigencia,,,6.0,,4
4430,3,AC,29,1, La enseÐanza,,,6.0,,4
2263,3,AC,3,9, AtenciÑn al alumno,,,6.0,,2
920,1,AC,35,2, los profesores,,,6.0,,4
19332,4,AC,5,2, Deben mejorar en la matricula en linea que todos los ciclos es lo mismo.,,,1.0,,3
32944,4,PRESENCIAL,213,1, PROFUNDIZAR LOS CURSOS Y MEJORAR METODOLOGAS DE LA ENSENANZA DE LOS PROFESORES,,,,,3
2793,4,AC,12,3," Me parece que la universidad tiene buena capacidad de enseÐanza, sin embargo preferirÕa que estuviera dividida por facultades y que haya una biblioteca màs amplia y lugares de estudio o cubiculos",,,8.0,,3
29316,2,FC,107,7," La tecnologÕa, nivel acad_mico y disponibilidad de horarios.",,,2.0,,4
11411,3,AC,2,2, Best university ever,,Delegado,6.0,,4
8253,1,AC,7,1, Las clases son muy buenas !,,Delegado,4.0,,4
20670,3,AC,13,5, Mayor espacio para estudiar y mas numeros de salones para los cursos,,,7.0,,3
4497,3,AC,30,2, Mejorar laboratorio y biblioteca,,,5.0,,2
17350,3,AC,25,1, La enseÐanza y la infraestructura,,,4.0,,4
21606,1,AC,5,1, Mejor atenciÑn del centro de ate ciÑn.,,,4.0,,2
7276,4,AC,9,2, infrestructura y flexibilidad de horarios,,,5.0,,3
2012,3,AC,39,1," La velocidad de internet debe ser mejor al igual que la conectividad. S_ que no es fàcil, pero deberÕan, asimismo, no concentrar tanto alumnado en la sede Monterrico, puesto que es perjudicial a la hora de almorzar, usar cubÕculos o computadoras, acceder a los servicios higi_nicos, etc.",,,5.0,,3
5495,1,AC,33,6, La modernidad y los desafÕos que nos presentan muy similares a la vida laboral,,,3.0,,4
12812,3,AC,39,4," CafeterÕa, espacio de ocio, espacios de ESTUDIO!",,,5.0,,3
18329,3,AC,30,3, Es una universidad muy tecnologica,,,5.0,,4
16268,1,AC,25,3, No puedo cambiarme de campus,,,3.0,,1
17532,2,AC,15,3, Lo que mas valoro de esta experiencia en la universidad es que es una universidad de prestigio conformada por buenos docente quienes nos brindan y enseÐan de una manera eficiente. Asimismo considero que la universidad es una universidad que motiva y exige a los estudiantes a esforzarnos cada vez mas,,,4.0,,4
14952,1,AC,37,6," En el estacionamiento haho 20 Minutos de cola a diario para entrar En la matricula (pocas opciones de cursos, pocos horarios)",,Delegado,7.0,,2
30548,2,FC,104,5, La informaciÑn proporcionada y la enseÐanza de los profesores,,,2.0,,4
28416,1,FC,101,4, Mas sillas para zurdos por favor,,,4.0,,3
16351,3,AC,15,7, Menos alumnado por sede. Mayor orden en los comedores (màs mesas o nuevos espacios).,,,7.0,,3
18593,1,AC,7,3," el sistema de llegada, cuando te olvidas tu tiu, deberia haber una forma mas rapida de ingresar",,,5.0,,3
28477,1,FC,109,6, La enseÐanza y la calidad de servicio al alumno.,,,3.0,,4
32584,2,FC,104,3, Facilidad de pagos y que sea las solicitudes personales y no virtual,,,4.0,,3
6964,1,AC,25,1," Solo me parece una universidad comÏn, nada fuera de los estandares.",,,5.0,,2
15038,3,AC,39,3, En la realizaciÑn de horarios.,,Delegado,8.0,,3
24879,3,AC,31,1," Que se preocupan por el alumno, por ejemplo existen talleres y tutorÕas, ademàs de tener una infraestructura adecuada para el estudio.",,Delegado,5.0,,4
24084,3,AC,12,4, La calidad de sus docentes y las ventajas que la infraestructura proporciona,,Delegado,5.0,,4
10932,3,AC,8,2, La enseÐanza.,,,3.0,,4
16666,2,AC,7,1, Me parece una buena universidad que cada dÕa està creciendo màs,,,2.0,,2
2816,2,AC,3,1, Por qu_ es una buena universidad,,,4.0,,4
31891,3,FC,105,4, Calidad de enseÐanza y la facilidad de medios de aprendizaje.,,,2.0,,4
12348,4,AC,25,2, Es bueno,,,5.0,,4
10808,3,AC,18,5, Internet Malla curricular desorganizada,,,7.0,,2
2226,2,AC,31,1, Mejorar en cuanto a la atenciÑn al alumno,,,4.0,,3
32828,2,FC,101,1, Abrir màs cedes en distintos distritos.,,,4.0,,3
12094,3,AC,14,4, La calidad de los docentes,,,6.0,,4
23231,3,AC,34,1, La red es lenta,,,6.0,,1
7589,3,AC,30,1, La calidad de enseÐanza,,Delegado,5.0,,4
12273,4,AC,2,1, Me gusta como enseÐan y el ambiente es muy cÑmodo aunque cueste caro.,,,5.0,,4
22602,2,AC,7,1, Todo bien,,,4.0,,4
12475,4,AC,14,5," Prodemiento de matricula, disponibilidad de horarios, cantidad de alumnado hacevque sea menos eficiente la enceÐanza",,,5.0,,3
7954,1,AC,31,1, Dar mas facilidad para obtener iphad y evitar que todo sea vurtual,,,3.0,,3
29789,4,PRESENCIAL,211,1," esperaba màs del programa de maestrÕa del derecho de la empresa, el filtro de ingreso es muy pobre y hay mucha diferencia en niveles de educaciÑn entre los participantes",,,,,1
32172,1,FC,101,6, AtenciÑn al alumno,,,5.0,,3
12267,4,AC,29,3, Malos servicios de atenciÑn al cliente,,Delegado,6.0,,3
14692,2,AC,11,1, Algunos profesores y los viernes culturales,,,7.0,,4
21900,2,AC,9,1, Mejorar en la distribucion de material pero todo lo demas esta bien en mi opinion,,,4.0,,3
33575,4,PRESENCIAL,214,1," Cronogramas, respeten fechas",,,,,3
2080,4,AC,9,1, Mas tiempo de clase,,,4.0,,3
